CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
16409,10000247317,2010247317,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/18/2010 02:45:00 PM,102XX BLOCK OF RENTON AVE S,S,S3,11900.3000,-122.257742519,47.509036085,"(47.509036085, -122.257742519)",,,,
17776,10000249262,2010249262,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/20/2010 05:36:00 AM,123XX BLOCK OF 35TH AVE NE,L,L2,800.1004,-122.291137897,47.718291369,"(47.718291369, -122.291137897)",,,,
19112,10000251418,2010251418,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/21/2010 08:06:00 PM,107XX BLOCK OF GREENWOOD AVE N,B,B1,1400.2003,-122.355473595,47.70780643,"(47.70780643, -122.355473595)",,,,
19590,10000251904,2010251904,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/22/2010 04:11:00 AM,7XX BLOCK OF 26TH AVE,G,G3,8800.4000,-122.298861854,47.608506591,"(47.608506591, -122.298861854)",,,,
22752,10000256696,2010256696,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/25/2010 06:50:00 PM,27XX BLOCK OF S WASHINGTON ST,G,G3,8900.6003,-122.296390416,47.60086351,"(47.60086351, -122.296390416)",,,,
24001,10000258414,2010258414,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/26/2010 11:17:00 PM,93XX BLOCK OF STONE AVE N,N,N3,1800.1004,-122.341899207,47.696710031,"(47.696710031, -122.341899207)",,,,
25539,10000259625,2010259625,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/27/2010 09:41:00 PM,3XX BLOCK OF NW 50TH ST,J,J2,4800.4010,-122.36204741,47.665015091,"(47.665015091, -122.36204741)",,,,
25853,10000259475,2010259475,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/27/2010 07:53:00 PM,36XX BLOCK OF RENTON AVE S,S,S2,11000.2008,-122.296129806,47.570697763,"(47.570697763, -122.296129806)",,,,
28142,10000264416,2010264416,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,07/31/2010 11:46:00 AM,7XX BLOCK OF 4TH AVE N,D,D1,6700.2012,-122.348866419,47.625857001,"(47.625857001, -122.348866419)",,,,
28568,10000265124,2010265124,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/01/2010 12:06:00 AM,87XX BLOCK OF GREENWOOD AVE N,N,N2,1700.2011,-122.355330171,47.69331765,"(47.69331765, -122.355330171)",,,,
28849,10000265218,2010265218,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/01/2010 01:28:00 AM,48XX BLOCK OF SW STEVENS ST,W,W1,9702.1006,-122.393738746,47.577526342,"(47.577526342, -122.393738746)",,,,
29018,10000265755,2010265755,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/01/2010 09:41:00 AM,9XX BLOCK OF PINE ST,D,D3,8300.2003,-122.33148686,47.613760194,"(47.613760194, -122.33148686)",,,,
29129,10000265817,2010265817,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/01/2010 02:51:00 PM,15XX BLOCK OF BELMONT AVE,E,E2,8400.1013,-122.32446531,47.614659735,"(47.614659735, -122.32446531)",,,,
30473,10000267264,2010267264,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/02/2010 09:39:00 PM,14XX BLOCK OF LAKE WASHINGTON BLVD S,G,G3,9500.1019,-122.289242379,47.589410039,"(47.589410039, -122.289242379)",,,,
30810,10000268677,2010268677,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/03/2010 02:57:00 PM,26XX BLOCK OF E CHERRY ST,G,G3,8800.2004,-122.297700151,47.607999264,"(47.607999264, -122.297700151)",,,,
31114,10000268544,2010268544,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/03/2010 04:40:00 PM,17XX BLOCK OF AIRPORT WAY S,K,K3,9300.1014,-122.32139201,47.587307313,"(47.587307313, -122.32139201)",,,,
32549,10000270787,2010270787,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/04/2010 11:17:00 PM,19XX BLOCK OF 3RD AVE,M,M2,8002.1001,-122.34024218,47.612013582,"(47.612013582, -122.34024218)",,,,
32714,10000271155,2010271155,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/05/2010 06:22:00 AM,15XX BLOCK OF 1ST AVE,M,M3,8100.1006,-122.340467731,47.609317596,"(47.609317596, -122.340467731)",,,,
34533,10000273735,2010273735,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/07/2010 12:46:00 AM,25XX BLOCK OF 21ST AVE W,Q,Q1,5802.3000,-122.383314876,47.643385565,"(47.643385565, -122.383314876)",,,,
35904,10000275768,2010275768,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/08/2010 06:29:00 PM,123XX BLOCK OF 11TH AVE NE,L,L2,600.6001,-122.316145035,47.718530839,"(47.718530839, -122.316145035)",,,,
36463,10000276600,2010276600,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/09/2010 12:28:00 PM,84XX BLOCK OF 12TH AVE SW,F,F3,11300.4001,-122.350574894,47.527413782,"(47.527413782, -122.350574894)",,,,
37368,10000277683,2010277683,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/10/2010 10:04:00 AM,40XX BLOCK OF SW CONCORD ST,W,W3,11600.3013,-122.384288519,47.523392147,"(47.523392147, -122.384288519)",,,,
37763,10000278331,2010278331,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/10/2010 05:45:00 PM,1XX BLOCK OF 14TH AVE,G,G1,8600.3007,-122.314179501,47.602185021,"(47.602185021, -122.314179501)",,,,
40052,10000281676,2010281676,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/13/2010 05:30:00 AM,48XX BLOCK OF S GARDEN ST,S,S1,11101.1005,-122.271533608,47.537639464,"(47.537639464, -122.271533608)",,,,
40479,10000282150,2010282150,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/13/2010 04:55:00 PM,11XX BLOCK OF NE 55TH ST,U,U3,4400.5008,-122.315738533,47.668566475,"(47.668566475, -122.315738533)",,,,
40534,10000282353,2010282353,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/13/2010 09:01:00 PM,34XX BLOCK OF 21ST AVE W,Q,Q1,5801.1006,-122.383298559,47.651242262,"(47.651242262, -122.383298559)",,,,
41170,10000283363,2010283363,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/14/2010 02:13:00 PM,40XX BLOCK OF 32ND AVE SW,W,W2,9900.1012,-122.37291743,47.566463811,"(47.566463811, -122.37291743)",,,,
42141,10000284848,2010284848,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/15/2010 07:35:00 PM,51XX BLOCK OF S PEARL ST,R,R3,10200.6010,-122.268989402,47.556273805,"(47.556273805, -122.268989402)",,,,
43311,10000286475,2010286475,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/16/2010 10:25:00 PM,XX BLOCK OF BLANCHARD ST,M,M3,8001.2008,-122.345642822,47.612274033,"(47.612274033, -122.345642822)",,,,
45707,10000290029,2010290029,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/19/2010 07:22:00 PM,5XX BLOCK OF W MERCER ST,Q,Q3,7000.2001,-122.363549409,47.624608386,"(47.624608386, -122.363549409)",,,,
46699,10000291626,2010291626,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/20/2010 11:20:00 PM,4XX BLOCK OF DENNY WAY,M,M1,7200.1054,-122.348273171,47.618573728,"(47.618573728, -122.348273171)",,,,
48919,10000292103,2010292103,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/21/2010 11:35:00 AM,29XX BLOCK OF SW AVALON WAY,W,W1,9900.1009,-122.370632439,47.57123846,"(47.57123846, -122.370632439)",,,,
50375,10000297006,2010297006,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/25/2010 10:43:00 AM,14XX BLOCK OF 5TH AVE,K,K1,8200.1013,-122.335119807,47.610181663,"(47.610181663, -122.335119807)",,,,
55384,10000304118,2010304118,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,08/31/2010 03:10:00 AM,20XX BLOCK OF RAINIER AVE S,O,O1,9400.3012,-122.303257151,47.585019715,"(47.585019715, -122.303257151)",,,,
58555,10000308808,2010308808,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/03/2010 04:21:00 PM,24XX BLOCK OF NE 65TH ST,U,U1,2500.3010,-122.301162897,47.675773823,"(47.675773823, -122.301162897)",,,,
58589,10000308794,2010308794,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/03/2010 04:01:00 PM,19XX BLOCK OF 9TH AVE,D,D2,7300.2009,-122.335086055,47.616000938,"(47.616000938, -122.335086055)",,,,
