"","CAD.CDW.ID","CAD.Event.Number","General.Offense.Number","Event.Clearance.Code","Event.Clearance.Description","Event.Clearance.SubGroup","Event.Clearance.Group","Date","Time","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract","Longitude","Latitude","Incident.Location","Initial.Type.Description","Initial.Type.Subgroup","Initial.Type.Group","At.Scene.Time","month","year"
"1",16409,10000247317,2010247317,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-18,"02:45:00 PM","102XX BLOCK OF RENTON AVE S","S","S3",11900.3,-122.257742519,47.509036085,"(47.509036085, -122.257742519)","","","","","July",2010
"2",17776,10000249262,2010249262,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-20,"05:36:00 AM","123XX BLOCK OF 35TH AVE NE","L","L2",800.1004,-122.291137897,47.718291369,"(47.718291369, -122.291137897)","","","","","July",2010
"3",19112,10000251418,2010251418,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-21,"08:06:00 PM","107XX BLOCK OF GREENWOOD AVE N","B","B1",1400.2003,-122.355473595,47.70780643,"(47.70780643, -122.355473595)","","","","","July",2010
"4",19590,10000251904,2010251904,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-22,"04:11:00 AM","7XX BLOCK OF 26TH AVE","G","G3",8800.4,-122.298861854,47.608506591,"(47.608506591, -122.298861854)","","","","","July",2010
"5",22752,10000256696,2010256696,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-25,"06:50:00 PM","27XX BLOCK OF S WASHINGTON ST","G","G3",8900.6003,-122.296390416,47.60086351,"(47.60086351, -122.296390416)","","","","","July",2010
"6",24001,10000258414,2010258414,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-26,"11:17:00 PM","93XX BLOCK OF STONE AVE N","N","N3",1800.1004,-122.341899207,47.696710031,"(47.696710031, -122.341899207)","","","","","July",2010
"7",25539,10000259625,2010259625,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-27,"09:41:00 PM","3XX BLOCK OF NW 50TH ST","J","J2",4800.401,-122.36204741,47.665015091,"(47.665015091, -122.36204741)","","","","","July",2010
"8",25853,10000259475,2010259475,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-27,"07:53:00 PM","36XX BLOCK OF RENTON AVE S","S","S2",11000.2008,-122.296129806,47.570697763,"(47.570697763, -122.296129806)","","","","","July",2010
"9",28142,10000264416,2010264416,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-07-31,"11:46:00 AM","7XX BLOCK OF 4TH AVE N","D","D1",6700.2012,-122.348866419,47.625857001,"(47.625857001, -122.348866419)","","","","","July",2010
"10",28568,10000265124,2010265124,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-01,"12:06:00 AM","87XX BLOCK OF GREENWOOD AVE N","N","N2",1700.2011,-122.355330171,47.69331765,"(47.69331765, -122.355330171)","","","","","August",2010
"11",28849,10000265218,2010265218,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-01,"01:28:00 AM","48XX BLOCK OF SW STEVENS ST","W","W1",9702.1006,-122.393738746,47.577526342,"(47.577526342, -122.393738746)","","","","","August",2010
"12",29018,10000265755,2010265755,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-01,"09:41:00 AM","9XX BLOCK OF PINE ST","D","D3",8300.2003,-122.33148686,47.613760194,"(47.613760194, -122.33148686)","","","","","August",2010
"13",29129,10000265817,2010265817,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-01,"02:51:00 PM","15XX BLOCK OF BELMONT AVE","E","E2",8400.1013,-122.32446531,47.614659735,"(47.614659735, -122.32446531)","","","","","August",2010
"14",30473,10000267264,2010267264,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-02,"09:39:00 PM","14XX BLOCK OF LAKE WASHINGTON BLVD S","G","G3",9500.1019,-122.289242379,47.589410039,"(47.589410039, -122.289242379)","","","","","August",2010
"15",30810,10000268677,2010268677,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-03,"02:57:00 PM","26XX BLOCK OF E CHERRY ST","G","G3",8800.2004,-122.297700151,47.607999264,"(47.607999264, -122.297700151)","","","","","August",2010
"16",31114,10000268544,2010268544,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-03,"04:40:00 PM","17XX BLOCK OF AIRPORT WAY S","K","K3",9300.1014,-122.32139201,47.587307313,"(47.587307313, -122.32139201)","","","","","August",2010
"17",32549,10000270787,2010270787,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-04,"11:17:00 PM","19XX BLOCK OF 3RD AVE","M","M2",8002.1001,-122.34024218,47.612013582,"(47.612013582, -122.34024218)","","","","","August",2010
"18",32714,10000271155,2010271155,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-05,"06:22:00 AM","15XX BLOCK OF 1ST AVE","M","M3",8100.1006,-122.340467731,47.609317596,"(47.609317596, -122.340467731)","","","","","August",2010
"19",34533,10000273735,2010273735,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-07,"12:46:00 AM","25XX BLOCK OF 21ST AVE W","Q","Q1",5802.3,-122.383314876,47.643385565,"(47.643385565, -122.383314876)","","","","","August",2010
"20",35904,10000275768,2010275768,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-08,"06:29:00 PM","123XX BLOCK OF 11TH AVE NE","L","L2",600.6001,-122.316145035,47.718530839,"(47.718530839, -122.316145035)","","","","","August",2010
"21",36463,10000276600,2010276600,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-09,"12:28:00 PM","84XX BLOCK OF 12TH AVE SW","F","F3",11300.4001,-122.350574894,47.527413782,"(47.527413782, -122.350574894)","","","","","August",2010
"22",37368,10000277683,2010277683,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-10,"10:04:00 AM","40XX BLOCK OF SW CONCORD ST","W","W3",11600.3013,-122.384288519,47.523392147,"(47.523392147, -122.384288519)","","","","","August",2010
"23",37763,10000278331,2010278331,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-10,"05:45:00 PM","1XX BLOCK OF 14TH AVE","G","G1",8600.3007,-122.314179501,47.602185021,"(47.602185021, -122.314179501)","","","","","August",2010
"24",40052,10000281676,2010281676,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-13,"05:30:00 AM","48XX BLOCK OF S GARDEN ST","S","S1",11101.1005,-122.271533608,47.537639464,"(47.537639464, -122.271533608)","","","","","August",2010
"25",40479,10000282150,2010282150,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-13,"04:55:00 PM","11XX BLOCK OF NE 55TH ST","U","U3",4400.5008,-122.315738533,47.668566475,"(47.668566475, -122.315738533)","","","","","August",2010
"26",40534,10000282353,2010282353,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-13,"09:01:00 PM","34XX BLOCK OF 21ST AVE W","Q","Q1",5801.1006,-122.383298559,47.651242262,"(47.651242262, -122.383298559)","","","","","August",2010
"27",41170,10000283363,2010283363,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-14,"02:13:00 PM","40XX BLOCK OF 32ND AVE SW","W","W2",9900.1012,-122.37291743,47.566463811,"(47.566463811, -122.37291743)","","","","","August",2010
"28",42141,10000284848,2010284848,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-15,"07:35:00 PM","51XX BLOCK OF S PEARL ST","R","R3",10200.601,-122.268989402,47.556273805,"(47.556273805, -122.268989402)","","","","","August",2010
"29",43311,10000286475,2010286475,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-16,"10:25:00 PM","XX BLOCK OF BLANCHARD ST","M","M3",8001.2008,-122.345642822,47.612274033,"(47.612274033, -122.345642822)","","","","","August",2010
"30",45707,10000290029,2010290029,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-19,"07:22:00 PM","5XX BLOCK OF W MERCER ST","Q","Q3",7000.2001,-122.363549409,47.624608386,"(47.624608386, -122.363549409)","","","","","August",2010
"31",46699,10000291626,2010291626,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-20,"11:20:00 PM","4XX BLOCK OF DENNY WAY","M","M1",7200.1054,-122.348273171,47.618573728,"(47.618573728, -122.348273171)","","","","","August",2010
"32",48919,10000292103,2010292103,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-21,"11:35:00 AM","29XX BLOCK OF SW AVALON WAY","W","W1",9900.1009,-122.370632439,47.57123846,"(47.57123846, -122.370632439)","","","","","August",2010
"33",50375,10000297006,2010297006,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-25,"10:43:00 AM","14XX BLOCK OF 5TH AVE","K","K1",8200.1013,-122.335119807,47.610181663,"(47.610181663, -122.335119807)","","","","","August",2010
"34",55384,10000304118,2010304118,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-08-31,"03:10:00 AM","20XX BLOCK OF RAINIER AVE S","O","O1",9400.3012,-122.303257151,47.585019715,"(47.585019715, -122.303257151)","","","","","August",2010
"35",58555,10000308808,2010308808,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-03,"04:21:00 PM","24XX BLOCK OF NE 65TH ST","U","U1",2500.301,-122.301162897,47.675773823,"(47.675773823, -122.301162897)","","","","","September",2010
"36",58589,10000308794,2010308794,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-03,"04:01:00 PM","19XX BLOCK OF 9TH AVE","D","D2",7300.2009,-122.335086055,47.616000938,"(47.616000938, -122.335086055)","","","","","September",2010
"37",61041,10000312169,2010312169,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-06,"12:23:00 PM","14XX BLOCK OF BOREN AVE","D","D3",8300.2007,-122.328459045,47.612969068,"(47.612969068, -122.328459045)","","","","","September",2010
"38",61273,10000312600,2010312600,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-06,"08:12:00 PM","28XX BLOCK OF S GRAHAM ST","S","S1",10400.301,-122.296353052,47.5462666,"(47.5462666, -122.296353052)","","","","","September",2010
"39",61296,10000312392,2010312392,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-06,"06:50:00 PM","17XX BLOCK OF 24TH AVE S","R","R1",9500.6032,-122.301300472,47.587596077,"(47.587596077, -122.301300472)","","","","","September",2010
"40",61325,10000312528,2010312528,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-06,"07:52:00 PM","117XX BLOCK OF AURORA AVE N","N","N1",402.2005,-122.344896102,47.717174471,"(47.717174471, -122.344896102)","","","","","September",2010
"41",61852,10000313604,2010313604,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-07,"04:23:00 PM","110XX BLOCK OF ROOSEVELT WAY NE","L","L2",1200.3,-122.317865044,47.709387908,"(47.709387908, -122.317865044)","","","","","September",2010
"42",62524,10000314333,2010314333,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-08,"05:28:00 AM","3XX BLOCK OF S HOLGATE ST","O","O2",9300.2029,-122.329520587,47.586170251,"(47.586170251, -122.329520587)","","","","","September",2010
"43",63821,10000316139,2010316139,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-09,"03:31:00 PM","1XX BLOCK OF EASTLAKE AVE E","D","D2",7300.2,-122.329131558,47.619124732,"(47.619124732, -122.329131558)","","","","","September",2010
"44",64547,10000317202,2010317202,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-10,"11:29:00 AM","20XX BLOCK OF 3RD AVE","M","M2",8002.1001,-122.341542601,47.612782411,"(47.612782411, -122.341542601)","","","","","September",2010
"45",64815,10000317725,2010317725,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-10,"06:03:00 PM","72XX BLOCK OF 50TH AVE NE","L","L3",4000.2002,-122.274362872,47.682124016,"(47.682124016, -122.274362872)","","","","","September",2010
"46",65530,10000318692,2010318692,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-11,"01:31:00 PM","2XX BLOCK OF CHERRY ST","K","K2",8100.2029,-122.332617243,47.603251637,"(47.603251637, -122.332617243)","","","","","September",2010
"47",65678,10000318906,2010318906,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-11,"05:11:00 PM","45XX BLOCK OF FAUNTLEROY WAY SW","W","W2",10500.601,-122.38080264,47.561714821,"(47.561714821, -122.38080264)","","","","","September",2010
"48",66751,10000320208,2010320208,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-12,"08:33:00 PM","XX BLOCK OF NE 50TH ST","U","U3",4400.3007,-122.309575487,47.664876413,"(47.664876413, -122.309575487)","","","","","September",2010
"49",67387,10000321504,2010321504,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-13,"08:22:00 PM","6XX BLOCK OF S WELLER ST","K","K2",9100.2007,-122.324734263,47.597512351,"(47.597512351, -122.324734263)","","","","","September",2010
"50",67870,10000321947,2010321947,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-14,"07:14:00 AM","73XX BLOCK OF BLAKE PL SW","W","W3",11600.601,-122.390897902,47.537508868,"(47.537508868, -122.390897902)","","","","","September",2010
"51",68225,10000322603,2010322603,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-14,"07:58:00 PM","43XX BLOCK OF SW 104TH ST","W","W3",12000.3004,-122.387656642,47.510080339,"(47.510080339, -122.387656642)","","","","","September",2010
"52",68511,10000322987,2010322987,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-14,"11:00:00 PM","7XX BLOCK OF JOHN ST","D","D1",7200.1039,-122.341739126,47.619717144,"(47.619717144, -122.341739126)","","","","","September",2010
